# threads	alloc size	glibc   	snmalloc	jemalloc	tbbmalloc
1       	64        	1.11    	0.84    	0.74    	0.83    
1       	128       	1.16    	0.88    	0.66    	0.78    
1       	256       	1.12    	0.84    	0.72    	0.82    
1       	512       	1.16    	0.84    	0.77    	0.78    
1       	1024      	1.21    	0.92    	0.75    	0.85    
1       	2048      	1.12    	0.84    	0.78    	0.77    
1       	4096      	1.17    	0.83    	0.71    	0.85    
1       	8192      	1.22    	0.88    	0.77    	0.83    
1       	16384     	1.01    	0.88    	0.76    	0.79    
1       	32768     	1.16    	0.92    	0.70    	0.84    
1       	65536     	1.18    	0.91    	0.86    	0.83    
1       	131072    	1.27    	0.83    	0.75    	0.95    
1       	262144    	1.41    	0.97    	0.88    	1.05    
1       	524288    	1.43    	0.90    	0.86    	1.05    
1       	1048576   	1.60    	0.91    	0.77    	1.07    
1       	2097152   	1.79    	0.95    	0.90    	1.11    
1       	4194304   	2.03    	1.00    	1.02    	1.17    
1       	8388608   	2.63    	1.04    	1.13    	1.20    
1       	16777216  	3.50    	1.10    	1.37    	1.45    
1       	33554432  	5.31    	1.22    	1.92    	1.84    
1       	67108864  	8.50    	1.56    	2.96    	2.71    
1       	134217728 	15.03   	1.98    	4.89    	4.52    
1       	268435456 	27.18   	3.02    	8.14    	8.86    
1       	536870912 	59.16   	5.07    	15.38   	34.07   
2       	64        	0.53    	0.43    	0.33    	0.37    
2       	128       	0.51    	0.42    	0.33    	0.37    
2       	256       	0.53    	0.44    	0.36    	0.38    
2       	512       	0.53    	0.44    	0.33    	0.37    
2       	1024      	0.53    	0.43    	0.36    	0.36    
2       	2048      	0.52    	0.42    	0.35    	0.41    
2       	4096      	0.54    	0.41    	0.37    	0.38    
2       	8192      	0.53    	0.42    	0.38    	0.35    
2       	16384     	0.52    	0.44    	0.35    	0.39    
2       	32768     	0.52    	0.44    	0.37    	0.37    
2       	65536     	0.51    	0.43    	0.37    	0.37    
2       	131072    	0.55    	0.45    	0.32    	0.37    
2       	262144    	0.56    	0.46    	0.36    	0.42    
2       	524288    	0.62    	0.47    	0.38    	0.45    
2       	1048576   	0.70    	0.45    	0.38    	0.46    
2       	2097152   	0.73    	0.43    	0.38    	0.48    
2       	4194304   	0.83    	0.45    	0.42    	0.50    
2       	8388608   	0.98    	0.46    	0.45    	0.53    
2       	16777216  	1.29    	0.50    	0.51    	0.56    
2       	33554432  	1.78    	0.55    	0.65    	0.78    
2       	67108864  	2.71    	0.61    	0.91    	1.00    
2       	134217728 	4.49    	0.76    	1.44    	1.54    
2       	268435456 	7.90    	1.04    	2.40    	2.69    
2       	536870912 	15.62   	1.56    	4.31    	4.58    
4       	64        	0.28    	0.22    	0.17    	0.20    
4       	128       	0.27    	0.23    	0.17    	0.20    
4       	256       	0.28    	0.23    	0.18    	0.19    
4       	512       	0.29    	0.22    	0.17    	0.19    
4       	1024      	0.29    	0.23    	0.16    	0.19    
4       	2048      	0.29    	0.22    	0.17    	0.20    
4       	4096      	0.30    	0.23    	0.16    	0.19    
4       	8192      	0.28    	0.22    	0.17    	0.19    
4       	16384     	0.28    	0.22    	0.17    	0.20    
4       	32768     	0.28    	0.23    	0.17    	0.19    
4       	65536     	0.29    	0.22    	0.17    	0.20    
4       	131072    	0.28    	0.22    	0.16    	0.21    
4       	262144    	0.28    	0.23    	0.17    	0.20    
4       	524288    	0.31    	0.24    	0.17    	0.20    
4       	1048576   	0.33    	0.23    	0.18    	0.22    
4       	2097152   	0.35    	0.24    	0.20    	0.24    
4       	4194304   	0.38    	0.23    	0.19    	0.25    
4       	8388608   	0.44    	0.23    	0.20    	0.25    
4       	16777216  	0.56    	0.25    	0.22    	0.28    
4       	33554432  	0.70    	0.25    	0.26    	0.33    
4       	67108864  	1.02    	0.28    	0.33    	0.44    
4       	134217728 	1.52    	0.33    	0.48    	0.61    
4       	268435456 	2.58    	0.46    	0.76    	0.93    
4       	536870912 	4.48    	0.60    	1.29    	1.57    
8       	64        	0.22    	0.18    	0.13    	0.15    
8       	128       	0.22    	0.18    	0.13    	0.15    
8       	256       	0.22    	0.18    	0.13    	0.15    
8       	512       	0.22    	0.19    	0.13    	0.16    
